idnum,logistic_ensemble_regularization_factor=1e-06_internal_random
     3800760322,0.500285858270155
      353755139,0.499765991561257
     2729656324,0.500027530708421
     2830325078,0.499816019016834
     1318838287,0.499526209441110
      946176016,0.499782577647769
      453500945,0.499640010508879
     3191791619,0.499631994167459
      839647252,0.499533979470589
     2511904795,0.499567127836146
     3333611548,0.499760034088371
     3737272353,0.499754257642921
      185188386,0.499577570226452
      573325347,0.500193037109640
     2124324901,0.499589709982715
      197165095,0.500520982806560
     1188814891,0.499744466378069
      982360109,0.499634934826502
     1910931504,0.499662714633572
      966934580,0.499967773401672
     1563967552,0.500014909328737
     3562463301,0.499507326842747
     3795304520,0.499646741264417
      421388363,0.499726733225177
     1053548620,0.499533801858167
      596918352,0.499776686594343
     3317047384,0.500034969602730
     2813616217,0.499591900553318
      892067936,0.499587458276535
     1650581602,0.499848997357365
      595230820,0.499569331348570
      271982693,0.499640141217581
     2847694951,0.500521985400960
     1811882090,0.499626514275607
      377551549,0.500214446554220
     4113883249,0.499564885066522
     4256784501,0.499614420244123
     2713296789,0.499933693486720
     1919869055,0.500055218272499
     3376365700,0.499571427628035
      456062317,0.499702149843667
     1438113939,0.499837413237895
     3993051292,0.500361344664392
     2703515805,0.499560795583682
     1398325407,0.499556448712162
     2587648164,0.499960481381429
      273670311,0.499860159955559
     1003888808,0.499529897345421
     1604305068,0.499716875127467
      686342322,0.499769375750010
      779665589,0.499706760571031
     3893919927,0.499574860833648
     3389104312,0.499611017784616
     1134182585,0.499651750323876
      627261626,0.499861264091098
     1191354555,0.500169313796859
     3524886718,0.499880611773508
     1729274049,0.500539119694474
     2221392069,0.499880093941535
     2389745864,0.499813061213769
     3485769930,0.499630770896083
     2741403852,0.499788052366729
     2746769613,0.499957075206981
     1934541010,0.500230370320320
     3035087059,0.499712880104473
      377725140,0.499657182809582
      207126743,0.499700536305940
     2444411098,0.499896303296537
     2321039579,0.500180840535072
     1908408542,0.499683283979800
     4243587295,0.499593642047932
     3824074979,0.500060622543620
     1135370468,0.499720456295900
     3872112877,0.499888322807001
      945307889,0.500245677173089
     3187415764,0.499607744559910
     2530836730,0.499540640554393
     2476228860,0.499894491221807
      326115587,0.499931953533467
      833462533,0.499559232971164
     1727209735,0.499821629973114
     1162879243,0.499509645513381
     2047435022,0.499836339607123
     2641698861,0.499502995718837
      294084880,0.499532002699703
     3877413140,0.499702041666014
     2554929200,0.499829399852918
     2803204391,0.500127395832318
     2214011194,0.499781194875849
      894198086,0.500114231360954
      705610059,0.499713617631227
     1743118669,0.499551332037642
     1125007695,0.499617450631723
     3385723619,0.500326939123996
     2252398935,0.499492164691990
     3459391835,0.499952229803328
      304669029,0.499539541182420
      390603110,0.499697725451094
     3155247463,0.499845892525371
     3379814765,0.499760288234725
     2654183790,0.499672370194695
     4060651888,0.499563739068284
      788922738,0.499921446292370
