idnum,logistic_ensemble_regularization_factor=0.5
        1257163,0.223060153402375
        3666201,0.271927799886855
        3762856,0.483465675785447
        4643202,0.211153457735461
        8264703,0.257946201852711
        8713623,0.886513841296546
       10216085,0.350308297929061
       10454613,0.368756958450214
       12830381,0.282640928806762
       13579059,0.295988666110662
       14444511,0.200553473635232
       14813380,0.365107100229191
       15145794,0.348502915951639
       15666050,0.278286582446074
       16030619,0.200773405345101
       18403675,0.455080541906697
       20688811,0.232278428147734
       22256316,0.467281176543371
       24755307,0.206706766698026
       26276859,0.460066908756613
       26484175,0.933824381836468
       27194025,0.782747610083376
       27472397,0.616096396175735
       27905466,0.410095571294749
       28562031,0.263076747045127
       32088949,0.200762949497181
       32209495,0.812993953923444
       32228579,0.215938254525595
       32388948,0.225172439849308
       33848378,0.954771279133906
       35886541,0.831374905146562
       37935529,0.241647605179604
       38529900,0.262515573728408
       39662473,0.219933340601298
       40491651,0.479695679739193
       41839058,0.267353156267797
       42935543,0.403222656507240
       46861991,0.351832427240656
       48025958,0.252861245061873
       50076758,0.258098564242484
       50381881,0.940096025192535
       50688849,0.400814197912572
       51712238,0.232657060754053
       52301276,0.261924187879594
       52305841,0.200720513561733
       53815282,0.458916114964975
       54159288,0.249264196339261
       54322946,0.302900232151836
       54866034,0.271546648841969
       57560196,0.221917974732400
       57895567,0.531238355699877
       58196362,0.223553716734022
       60575993,0.234034990209434
       60975052,0.759585862901454
       61279800,0.268441717111567
       61673048,0.976116403422756
       65348353,0.438939958183248
       65797629,0.285130612719032
       68991036,0.200654178146815
       71240446,0.245701073445603
       72718694,0.255780783904301
       73166801,0.674867606134967
       73499309,0.640615421075124
       75390012,0.989340626307397
       76011693,0.228956573110203
       80662100,0.250641834645431
       81603853,0.292161206355009
       83019021,0.238238523841592
       84317600,0.277147510656339
       87519714,0.328869167298884
       87624014,0.673619797486148
       88373450,0.334579596061071
       91675892,0.346848724248218
       91739717,0.224129228092639
       93289481,0.225916621321986
       95774621,0.670470013481977
       96198130,0.761183499437881
       98581287,0.203063211184505
      100041341,0.747382528455706
      102874632,0.750371287309564
      104812720,0.793147921866856
      104974358,0.427110112932618
      105321867,0.911789169767740
      105642960,0.245786256335712
      108655817,0.643978571327582
      110278528,0.418977705083002
      110507344,0.567914511084375
      115271771,0.241068313002055
      116429755,0.903789120930215
      117286282,0.287883914779666
      117821048,0.269293894640161
      118360577,0.753600091667249
      119572611,0.240961400971566
      121318751,0.920989339100262
      121407795,0.284049421405339
      124726856,0.340851365943673
      125806967,0.374496630634194
      126837628,0.926930437260567
      127588095,0.283414411945006
      128166283,0.629783257523065
      128699208,0.236257409096046
      131722143,0.200721589119948
      132953585,0.769251764490256
      135869424,0.223675923782925
      136507530,0.567405727218154
      136563772,0.894090041945468
      138167699,0.232447846775179
      138197111,0.338986667599232
      139594293,0.579202936736484
      146556637,0.958599684726650
      146589912,0.272944161404617
      146654916,0.220720764493077
      146668200,0.708742901243125
      146835745,0.525131278170434
      147615847,0.785267773558672
      148438730,0.251366075366115
      150592548,0.877327697726360
      151276515,0.559352609536915
      153026235,0.240472540847423
      153805298,0.230295523452083
      154289260,0.247079619081327
      154606057,0.850698225093779
      154824772,0.916308627264952
      155749111,0.258547961643179
      156822966,0.242863274928576
      156964214,0.392646537300598
      157732323,0.449769643667005
      158222197,0.322758499345635
      158502627,0.277738099302032
      158940143,0.792583264027322
      159374064,0.429420996844355
      159635782,0.269623310028730
      164953467,0.258796477180302
      169660931,0.931315970568748
      169859367,0.765922439757382
      171698843,0.260789488181653
      171775437,0.262514434283592
      171778968,0.242684221974640
      173299067,0.903824844702000
      173341789,0.200804168772153
      174795272,0.274307595089278
      174906694,0.361058643525329
      175198917,0.271894644188963
      176258242,0.270947321301061
      177470199,0.253015300510376
      178086079,0.882083870977805
      178436741,0.644909327767232
      178871054,0.268868332280966
      179509162,0.244408005982644
      180828873,0.882915135362599
      182988375,0.260162220523005
      183204935,0.211505090080671
      183359707,0.242139705490626
      185188386,0.237643336833850
      185407090,0.698319611318101
      185988792,0.687635851518658
      186731606,0.216942352346893
      187263797,0.867008392163052
      187609815,0.327169475838662
      188351587,0.565676610111735
      189960673,0.200717102290326
      192418760,0.598316631596481
      192734429,0.954296857999299
      193102160,0.311138380010666
      193628988,0.226473747697028
      194913990,0.949573890431593
      195805052,0.746383911230470
      197093544,0.230364255898727
      197165095,0.888954531344440
      199543593,0.322408060005239
      202267452,0.565215976780683
      203774297,0.365744932078602
      203979224,0.219865929131419
      204878041,0.223149175789086
      206055142,0.350398369955509
      206110424,0.232175377550258
      207126743,0.268111887425489
      209158401,0.947160000217098
      209313138,0.340998044312620
      214707270,0.317424538234106
      215066694,0.911292656568440
      218664243,0.315435954119551
      221667877,0.320222500184479
      222170761,0.527077195963421
      222329944,0.899560394151719
      222815474,0.293681354171955
      223183399,0.826054925955855
      224849060,0.239166298766958
      224853921,0.330414563123357
      225113954,0.444234309726370
      225832912,0.350166032415050
      225947859,0.786038299892445
      226736066,0.302306276257184
      227023597,0.736736442976424
      227104646,0.927333612199662
      227245329,0.234206269476051
      227821952,0.293118231727578
      233278274,0.230451202313105
      235994585,0.796079489362457
      237574474,0.290045435060906
      237580894,0.298452471735316
      241197609,0.354542066955480
      242878731,0.233064745697908
      242955686,0.261791194373787
      244462675,0.598627980441922
      245934481,0.436359702603274
      246209747,0.276967532237666
      246808812,0.588629663458088
      250920048,0.433471278579761
      251426884,0.278028975202298
      254693089,0.952279615854583
      254839696,0.364994711298822
      256070847,0.247735486219839
      257654678,0.474818177919009
      260302946,0.296550243900193
      261510752,0.292117785003514
      262695517,0.213065182606899
      264425091,0.323749720697883
      267021979,0.211407637202697
      267269087,0.590388548950521
      267507893,0.230845418994322
      267789728,0.890131332489786
      268442623,0.206291302384453
      271023484,0.944459628743760
      271497799,0.265435834331250
      271982693,0.236608554190973
      272374884,0.215686003650256
      272904435,0.255746722439621
      273670311,0.291009050766210
      273895788,0.400542172024219
      274416329,0.877935662283092
      274990305,0.934244021886060
      275753215,0.989133522175710
      277219886,0.863469719281046
      277784697,0.319158446527424
      279688893,0.834951295593351
      280409396,0.236878813965984
      280722793,0.603962546031416
      280945415,0.200649786993655
      283261510,0.781944890338708
      283691199,0.313843615072949
      284764044,0.827165381742709
